SPAR MARKITING LPO DATA ,,,,,,,,,,,,,,,,,,,,,,,
NO,,LPO Number ,company name ,Qutation numbr,finance ,Receved  ,invoice ,date ,receved  ,refrance number ,Items,Tawar ,03 mall ,Bsquare mall ,Almana ,Porto ,QQ,aljazzera ,head Office ,All Stores,Others,,
425,,5844,Margins,MTS-2025-0469,Helvin,23/11/2025,,Helvin,,425-Margins5844-MTS-2025-0469-Helvin45984,Poster and hanging signs ,3500,,,,,,,,,,,
426,,5845,Business Class,7048,Helvin,10/10/2025,,Helvin,,426-Business Class5845-7048-Helvin45940,Advertising services for social media platforms,,,,,,,,,3000,,,
427,,5846,Roh Alhayah,4901,Helvin,22/11/2025,,Helvin,,427-Roh Alhayah5846-4901-Helvin45983,Baloons for SPAR Anniversary 8,1600,,,,,,,,,,,
428,,5847,Margins,MTS-2025-0522,Helvin,02/12/2025,,Helvin,,428-Margins5847-MTS-2025-0522-Helvin45993,10sec - SPIN&WIN - FLAGS,5405,,,,,,,,,,,
429,,5848,Perfect Media,Q251794,Helvin,29/11/2025,,Helvin,,429-Perfect Media5848-Q251794-Helvin45990,Printing : Vouchers / Tag Price A4 / FLYER,6200,,,,,,,,,,,
430,,5849,Qatar living,Quo-01086c3q1t4,Helvin,15/12/2025,,Helvin,,430-Qatar living5849-Quo-01086c3q1t4-Helvin46006,,,,,,,,,,,,,
431,,5892,Business Class,7066,Helvin,10/11/2025,,Helvin,,431-Business Class5892-7066-Helvin45971,Advertising services for social media platforms,,,,,,,,,3000,,,
432,,5893,Margins,MTS-2025-0582,Helvin,23/12/2025,,Helvin,,432-Margins5893-MTS-2025-0582-Helvin46014,Printing Roll Up,380,,,,,,,,,,,
433,,5894,SPOT Media ,75180/118,Helvin,06/12/2025,,Helvin,,433-SPOT Media 5894-75180/118-Helvin45997,,"1,198","1,198",,,,,,,,,,
434,,5895,SPOT Media ,753062/118,Helvin,06/12/2025,,Helvin,,434-SPOT Media 5895-753062/118-Helvin45997,,341.1,341.1,,,,,,,2200,,,
435,,5896,SPOT Media ,753030 /118,Helvin,25/12/2025,,Helvin,,435-SPOT Media 5896-753030 /118-Helvin46016,,,,,,,,,,,,,
436,,5937,Margins,MTS-2026-0028,Helvin,20/01/2026,,Helvin,,436-Margins5937-MTS-2026-0028-Helvin46042,SUPER 2 Days Branding,3060,,,,,,,,,,,
437,,5938,CITY MEDIA ,QT 0373,Helvin,25/01/2026,,Helvin,,437-CITY MEDIA 5938-QT 0373-Helvin46047,PRINTING BANNER  RAMADAN Ballets + Lapel,5860,,,,,,,,,,,
438,,5939,Mnasati - Qatar,# INV-001008,Helvin,05/02/2026,,Helvin,,438-Mnasati - Qatar5939-# INV-001008-Helvin46058,SPAR  Wallet - Business,,,,,,,,,2500,,,
439,,5940,Professional ,# EST-001827,Helvin,02/02/2026,,Helvin,,439-Professional 5940-# EST-001827-Helvin46055,AI VIDEO CREATION / Event shoot,,,,,,,,,1000,,,
440,,5941,The Agency,# QT-000005,Helvin,11/02/2026,,Helvin,,440-The Agency5941-# QT-000005-Helvin46064,Photo & Video Shoot Production ,,,,,,,,,6300,,,
441,,5942,Cre8Trends,QT 2026 - 040101,Helvin,23/02/2026,,Helvin,,441-Cre8Trends5942-QT 2026 - 040101-Helvin46076,Video Shooting  Abu Sultan Ramadan,,,,,,,,,6400,,,
442,,5943,Perfect Media,QT26111,Helvin,15/01/2026,,Helvin,,442-Perfect Media5943-QT26111-Helvin46037,Printing : Vouchers / Tag Price A4 for ramadan,,,,,,,,,8100,,,
443,,5944,Margins,MTS-2026-0128,Helvin,22/02/2026,,Helvin,,443-Margins5944-MTS-2026-0128-Helvin46075,Printing Stickers & foamboard,615,,,,,,,,3400,,,
444,,5945,Margins,MTS-2026-0124,Helvin,19/02/2026,,Helvin,,444-Margins5945-MTS-2026-0124-Helvin46072,Services,,,,,,,,,3400,,,
445,,5946,Margins,MTS-2026-0042,Helvin,25/01/2026,,Helvin,,445-Margins5946-MTS-2026-0042-Helvin46047,Ramadan Dangelrs 2026,,,,,,,,,3940,,,
446,,5983,Margins,MTS-2026-0086 Rev.1,Helvin,05/03/2026,,Helvin,,446-Margins5983-MTS-2026-0086 Rev.1-Helvin46086,Printing Stickers & Branding for QQ & porto arabia,,,,,,,,,7173,,,
447,,5984,Margins,MTS-2026-0109 Rev.1,Helvin,03/03/2026,,helvin,,447-Margins5984-MTS-2026-0109 Rev.1-Helvin46084,Posters & Shelf Talker Tag from MOC for  Ramadan,,,,,,,,,3300,,,
448,,5985,Professional ,# EST-001922,Helvin,09/03/2026,,helvin,,448-Professional 5985-# EST-001922-Helvin46090,Videography and photography ,,,,,,,,,800,,,
449,,5986,Business Class,99871,Eliza,14/03/2026,,Eliza,,449-Business Class5986-99871-Eliza46095,Advertising services on social media,,,,,,,,,3000,,,
450,,5987,Perfect Media,QT26112,Helvin,06/04/2026,,helvin,,450-Perfect Media5987-QT26112-Helvin46118, Tag Price A4 Flyer for promotion ,,,,,,,,,1300,,,
451,,6046,Margins,MTS-2026-0141,Helvin,07/04/2026,,Helvin,,451-Margins6046-MTS-2026-0141-Helvin46119,Roll up for Ramadan ,190,,,,,,,,,,,
452,,6047,CITY MEDIA ,QT 0404,Helvin,07/04/2026,,Helvin,,452-CITY MEDIA 6047-QT 0404-Helvin46119,Printing New Banner Designs for Pallets ,,,,,,,,,3565,,,
453,,6048,BASMATCOM,131000,Helvin,07/04/2026,,Helvin,,453-6048-131000-Helvin46119,Video Shoots ,,,,,,,,,3200,,,
454,,6049,Qatar Advertising,2136,Eliza,09/04/2026,,Eliza,,454-Qatar Advertising6049-2136-Eliza46121,"Roll-up printing with stand,+printing sticker",,,,,235,,,,,,,
455,,6050,CITY MEDIA ,QT 0406,Eliza,09/04/2026,,Eliza,,455-CITY MEDIA 6050-QT 0406-Eliza46121,Printing New Banner Designs for Pallets ,1125,1125,,,,,,,,,,
456,,6051,,,,,,,,456-6051--,,,,,,,,,,,,,
457,,6052,,,,,,,,457-6052--,,,,,,,,,,,,,
458,,6053,,,,,,,,458-6053--,,,,,,,,,,,,,
459,,6054,,,,,,,,459-6054--,,,,,,,,,,,,,
460,,6055,,,,,,,,460-6055--,,,,,,,,,,,,,
461,,,,,,,,,,461---,,,,,,,,,,,,,
462,,,,,,,,,,462---,,,,,,,,,,,,,
463,,,,,,,,,,463---,,,,,,,,,,,,,
464,,,,,,,,,,464---,,,,,,,,,,,,,
465,,,,,,,,,,465---,,,,,,,,,,,,,
466,,,,,,,,,,466---,,,,,,,,,,,,,
467,,,,,,,,,,467---,,,,,,,,,,,,,
468,,,,,,,,,,468---,,,,,,,,,,,,,
469,,,,,,,,,,469---,,,,,,,,,,,,,
470,,,,,,,,,,470---,,,,,,,,,,,,,
471,,,,,,,,,,471---,,,,,,,,,,,,,
472,,,,,,,,,,472---,,,,,,,,,,,,,
473,,,,,,,,,,473---,,,,,,,,,,,,,
474,,,,,,,,,,474---,,,,,,,,,,,,,
475,,,,,,,,,,475---,,,,,,,,,,,,,
476,,,,,,,,,,476---,,,,,,,,,,,,,
477,,,,,,,,,,477---,,,,,,,,,,,,,
478,,,,,,,,,,478---,,,,,,,,,,,,,
479,,,,,,,,,,479---,,,,,,,,,,,,,
480,,,,,,,,,,480---,,,,,,,,,,,,,
481,,,,,,,,,,481---,,,,,,,,,,,,,
482,,,,,,,,,,482---,,,,,,,,,,,,,
483,,,,,,,,,,483---,,,,,,,,,,,,,
484,,,,,,,,,,484---,,,,,,,,,,,,,
485,,,,,,,,,,485---,,,,,,,,,,,,,
486,,,,,,,,,,486---,,,,,,,,,,,,,
487,,,,,,,,,,487---,,,,,,,,,,,,,
488,,,,,,,,,,488---,,,,,,,,,,,,,
489,,,,,,,,,,489---,,,,,,,,,,,,,
490,,,,,,,,,,490---,,,,,,,,,,,,,
491,,,,,,,,,,491---,,,,,,,,,,,,,
492,,,,,,,,,,492---,,,,,,,,,,,,,
493,,,,,,,,,,493---,,,,,,,,,,,,,
494,,,,,,,,,,494---,,,,,,,,,,,,,
495,,,,,,,,,,495---,,,,,,,,,,,,,
496,,,,,,,,,,496---,,,,,,,,,,,,,
497,,,,,,,,,,497---,,,,,,,,,,,,,
498,,,,,,,,,,498---,,,,,,,,,,,,,
,,,,,,,,,,---,,,,,,,,,,,,,
